number,title,url,state,created_at,closed_at
3406,refactor: create collection,https://github.com/toeverything/AFFiNE/pull/3406,merged,2023-07-27T06:32:55Z,2023-07-27T20:46:53Z
3407,style: adjust collection modal style,https://github.com/toeverything/AFFiNE/pull/3407,merged,2023-07-27T07:02:03Z,2023-07-27T20:51:49Z
3434,fix: bring back the lost WorkspaceDeleteModal style,https://github.com/toeverything/AFFiNE/pull/3434,merged,2023-07-28T04:03:49Z,2023-07-28T04:32:46Z
3435,chore: update change log link,https://github.com/toeverything/AFFiNE/pull/3435,merged,2023-07-28T04:57:34Z,2023-07-28T15:26:58Z
3440,feat: add read only mode for page in trash,https://github.com/toeverything/AFFiNE/pull/3440,merged,2023-07-28T07:42:08Z,2023-07-28T15:26:58Z
3455,chore: adjustment options menu,https://github.com/toeverything/AFFiNE/pull/3455,merged,2023-07-29T04:26:20Z,2023-07-31T08:22:00Z
3458,style: adjust active slider bar collection item active style,https://github.com/toeverything/AFFiNE/pull/3458,merged,2023-07-29T05:40:04Z,2023-07-29T15:44:20Z
3496,feat: brand new version of icons,https://github.com/toeverything/AFFiNE/pull/3496,merged,2023-08-01T05:29:38Z,2023-08-01T06:14:35Z
3538,fix: scrollbar position offset,https://github.com/toeverything/AFFiNE/pull/3538,merged,2023-08-03T03:34:48Z,2023-08-03T09:05:58Z
3550,feat: modify sidebar floating logic and header responsive style,https://github.com/toeverything/AFFiNE/pull/3550,merged,2023-08-03T10:45:13Z,2023-08-05T00:29:03Z
3599,style: adjust page list header style,https://github.com/toeverything/AFFiNE/pull/3599,merged,2023-08-07T04:02:03Z,2023-08-07T16:17:20Z
3615,refactor: header options menu,https://github.com/toeverything/AFFiNE/pull/3615,merged,2023-08-08T05:51:26Z,2023-08-08T17:46:49Z
3621,refactor: optimize the use of notification center,https://github.com/toeverything/AFFiNE/pull/3621,merged,2023-08-08T08:25:32Z,2023-08-08T19:22:55Z
3640,chore: bump icon version and change plugins icon,https://github.com/toeverything/AFFiNE/pull/3640,merged,2023-08-09T06:59:38Z,2023-08-09T11:56:59Z
3643,feat: adjust email style,https://github.com/toeverything/AFFiNE/pull/3643,merged,2023-08-09T09:21:29Z,2023-08-11T06:16:21Z
3675,feat: add duplicate feature,https://github.com/toeverything/AFFiNE/pull/3675,merged,2023-08-10T16:07:40Z,2023-08-11T14:12:06Z
3686,fix: test case,https://github.com/toeverything/AFFiNE/pull/3686,merged,2023-08-11T04:18:15Z,2023-08-11T06:59:07Z
3718,fix: get back the missing scrollbar,https://github.com/toeverything/AFFiNE/pull/3718,merged,2023-08-13T12:15:54Z,2023-08-13T13:47:11Z
3734,chore: adjust translation,https://github.com/toeverything/AFFiNE/pull/3734,merged,2023-08-14T07:29:00Z,2023-08-14T14:44:59Z
3753,chore: adjust preloading page,https://github.com/toeverything/AFFiNE/pull/3753,merged,2023-08-15T03:55:54Z,2023-08-15T06:06:17Z
3754,chore: update en.json,https://github.com/toeverything/AFFiNE/pull/3754,merged,2023-08-15T03:57:12Z,2023-08-15T05:20:24Z
3757,fix: en.json for login branch,https://github.com/toeverything/AFFiNE/pull/3757,merged,2023-08-15T05:38:57Z,2023-08-15T17:53:30Z
3800,fix: wrong cascading relationship,https://github.com/toeverything/AFFiNE/pull/3800,merged,2023-08-17T05:16:39Z,2023-08-18T00:59:38Z
3803,chore: adjust preloading tags,https://github.com/toeverything/AFFiNE/pull/3803,merged,2023-08-17T07:57:20Z,2023-08-18T00:58:50Z
3826,chore: change divider style,https://github.com/toeverything/AFFiNE/pull/3826,merged,2023-08-18T05:40:32Z,2023-08-18T07:31:11Z
3879,feat: init share page menu,https://github.com/toeverything/AFFiNE/pull/3879,merged,2023-08-21T18:07:34Z,2023-08-23T03:02:46Z
3908,chore: remove global line-height,https://github.com/toeverything/AFFiNE/pull/3908,merged,2023-08-23T06:31:05Z,2023-08-23T14:26:57Z
3909,chore: update preloading page,https://github.com/toeverything/AFFiNE/pull/3909,merged,2023-08-23T08:51:59Z,2023-08-23T14:22:23Z
3918,refactor: add content to be selectable  and remove swipe gesture,https://github.com/toeverything/AFFiNE/pull/3918,merged,2023-08-23T15:20:39Z,2023-08-23T16:45:56Z
3942,chore: bump version,https://github.com/toeverything/AFFiNE/pull/3942,merged,2023-08-24T08:51:23Z,2023-08-24T10:05:10Z
3943,chore: update preload page,https://github.com/toeverything/AFFiNE/pull/3943,merged,2023-08-24T11:31:20Z,2023-08-24T16:21:17Z
4040,fix: the web version should not display client borders,https://github.com/toeverything/AFFiNE/pull/4040,merged,2023-08-30T05:54:40Z,2023-08-31T18:15:23Z
4045,feat: add worksapce type label,https://github.com/toeverything/AFFiNE/pull/4045,merged,2023-08-30T09:54:39Z,2023-08-31T18:16:59Z
4062,chore: adjust preloading page,https://github.com/toeverything/AFFiNE/pull/4062,merged,2023-08-31T06:44:35Z,2023-08-31T17:47:46Z
4098,chore: optimized style,https://github.com/toeverything/AFFiNE/pull/4098,merged,2023-09-01T07:16:30Z,2023-09-01T19:41:45Z
4193,style: add hover style to the setting button in workspace card,https://github.com/toeverything/AFFiNE/pull/4193,merged,2023-09-05T09:07:34Z,2023-09-07T05:32:18Z
4225,chore: adjust preloading page,https://github.com/toeverything/AFFiNE/pull/4225,merged,2023-09-06T10:19:52Z,2023-09-11T06:59:32Z
4287,fix: menu style,https://github.com/toeverything/AFFiNE/pull/4287,merged,2023-09-08T09:54:36Z,2023-09-11T06:41:37Z
4316,fix: unexpected react warning,https://github.com/toeverything/AFFiNE/pull/4316,merged,2023-09-12T08:31:39Z,2023-09-12T22:49:53Z
4317,feat: add animation for add favorites,https://github.com/toeverything/AFFiNE/pull/4317,merged,2023-09-12T08:33:02Z,2023-09-12T16:24:45Z
4336,fix: wrong share status display,https://github.com/toeverything/AFFiNE/pull/4336,merged,2023-09-13T04:28:49Z,2023-09-13T05:31:21Z
4347,refactor: delete page style,https://github.com/toeverything/AFFiNE/pull/4347,merged,2023-09-13T10:57:10Z,2023-09-16T00:55:56Z
4371,chore: adjust workspace card style,https://github.com/toeverything/AFFiNE/pull/4371,merged,2023-09-15T06:10:54Z,2023-09-15T06:19:39Z
4403,chore: add back&forward for web​,https://github.com/toeverything/AFFiNE/pull/4403,merged,2023-09-18T06:28:01Z,2023-09-19T18:09:24Z
4432,refactor: workspace list,https://github.com/toeverything/AFFiNE/pull/4432,merged,2023-09-20T10:09:22Z,2023-09-22T07:02:32Z
4468,fix: unexpected pop ups,https://github.com/toeverything/AFFiNE/pull/4468,merged,2023-09-23T05:22:10Z,2023-09-26T03:00:02Z
4477,feat: add commands,https://github.com/toeverything/AFFiNE/pull/4477,merged,2023-09-25T01:30:07Z,2023-09-25T10:26:54Z
4489,chore(core): temporarily remove set-syncing-mode,https://github.com/toeverything/AFFiNE/pull/4489,merged,2023-09-25T09:15:53Z,2023-09-26T14:29:35Z
4490,fix: unexpected hover behavior of collection sidebar,https://github.com/toeverything/AFFiNE/pull/4490,merged,2023-09-25T09:44:03Z,2023-09-25T10:40:28Z
4491,fix: adjust 404 page style,https://github.com/toeverything/AFFiNE/pull/4491,merged,2023-09-25T10:00:43Z,2023-09-26T03:09:27Z
4508,feat(component): add private copy link button,https://github.com/toeverything/AFFiNE/pull/4508,merged,2023-09-26T06:14:51Z,2023-09-27T04:54:03Z
4514,feat(core): add editor commanads,https://github.com/toeverything/AFFiNE/pull/4514,merged,2023-09-26T10:26:08Z,2023-10-02T03:39:24Z
4566,fix(component): adjust dialog and input style,https://github.com/toeverything/AFFiNE/pull/4566,merged,2023-10-09T07:49:29Z,2023-10-12T06:10:45Z
4568,feat(core): add setting commands,https://github.com/toeverything/AFFiNE/pull/4568,merged,2023-10-09T13:24:12Z,2023-10-11T03:51:42Z
4584,feat(core): adjust share menu style,https://github.com/toeverything/AFFiNE/pull/4584,merged,2023-10-11T11:00:45Z,2023-10-12T03:47:04Z
4592,feat(core): add sign out confirm modal,https://github.com/toeverything/AFFiNE/pull/4592,merged,2023-10-12T09:41:47Z,2023-10-16T09:03:50Z
4595,feat(core): add history shortcut,https://github.com/toeverything/AFFiNE/pull/4595,merged,2023-10-12T12:09:24Z,2023-10-16T13:11:27Z
4602,chore: bump playwright version,https://github.com/toeverything/AFFiNE/pull/4602,merged,2023-10-13T10:09:06Z,2023-10-13T19:37:18Z
4657,fix: wrong confirm button position,https://github.com/toeverything/AFFiNE/pull/4657,merged,2023-10-19T02:50:18Z,2023-10-19T03:40:00Z
4667,feat(core): add search result highlighting,https://github.com/toeverything/AFFiNE/pull/4667,merged,2023-10-19T15:20:32Z,2023-10-24T06:16:29Z
4707,feat(core): add account subscription status,https://github.com/toeverything/AFFiNE/pull/4707,merged,2023-10-24T08:08:02Z,2023-10-24T10:05:56Z
4713,feat(core): adapt storage progress to payment system,https://github.com/toeverything/AFFiNE/pull/4713,merged,2023-10-24T10:46:17Z,2023-10-25T08:18:31Z
4718,fix(core): retrieve missing search result titles,https://github.com/toeverything/AFFiNE/pull/4718,merged,2023-10-25T03:27:21Z,2023-10-25T11:09:22Z
4719,chore(core): update communities icon,https://github.com/toeverything/AFFiNE/pull/4719,merged,2023-10-25T07:06:06Z,2023-10-25T11:09:22Z
4723,feat(core): add translation key for payment,https://github.com/toeverything/AFFiNE/pull/4723,merged,2023-10-25T15:58:34Z,2023-10-26T08:15:13Z
4737,feat(core): adjust member tips,https://github.com/toeverything/AFFiNE/pull/4737,merged,2023-10-27T04:11:59Z,2023-10-27T06:25:48Z
4738,feat(core): add upgrade success page,https://github.com/toeverything/AFFiNE/pull/4738,merged,2023-10-27T06:23:38Z,2023-10-27T07:49:32Z
4765,feat(core): support fuzzy highlighting,https://github.com/toeverything/AFFiNE/pull/4765,merged,2023-10-30T07:50:37Z,2023-10-31T03:22:13Z
4771,feat(i18n): add new key for billing,https://github.com/toeverything/AFFiNE/pull/4771,merged,2023-10-30T09:48:36Z,2023-10-30T11:12:54Z
4773,fix(component): adjust autofill style,https://github.com/toeverything/AFFiNE/pull/4773,merged,2023-10-30T10:18:35Z,2023-10-31T15:52:21Z
4797,fix(core): adjust payment related text,https://github.com/toeverything/AFFiNE/pull/4797,merged,2023-11-01T03:54:37Z,2023-11-02T08:35:36Z
4802,feat(core): add jump to block for cmdk,https://github.com/toeverything/AFFiNE/pull/4802,merged,2023-11-01T06:45:25Z,2023-11-02T12:08:06Z
4829,chore(i18n): add new key for empty trash page,https://github.com/toeverything/AFFiNE/pull/4829,merged,2023-11-03T04:24:17Z,2023-11-03T06:32:10Z
4831,feat(core): adjust filter logic,https://github.com/toeverything/AFFiNE/pull/4831,merged,2023-11-03T07:05:16Z,2023-11-06T07:02:32Z
4832,chore(i18n): adjust text,https://github.com/toeverything/AFFiNE/pull/4832,merged,2023-11-03T07:16:00Z,2023-11-06T07:01:21Z
4833,feat(core): temporary expansion files are limited to 100M,https://github.com/toeverything/AFFiNE/pull/4833,merged,2023-11-03T07:56:48Z,2023-11-06T07:02:32Z
4847,fix(core): adjust discount display,https://github.com/toeverything/AFFiNE/pull/4847,merged,2023-11-06T10:04:44Z,2023-11-06T10:30:08Z
4856,feat(core): support share edgeless mode,https://github.com/toeverything/AFFiNE/pull/4856,merged,2023-11-07T05:52:07Z,2023-11-15T07:50:49Z
4858,feat(core): auto select block when jump to block,https://github.com/toeverything/AFFiNE/pull/4858,merged,2023-11-07T07:59:39Z,2023-11-10T03:17:13Z
